region,filename,highway,bicycle,cycleway,lanes,maxspeed,oneway,label
portland,w6490729_n5768988292.jpg,tertiary,,,2,30 mph,,0
portland,w51189183_n5010208633.jpg,primary,designated,,2,25 mph,no,1
portland,w503627106_n5170555249.jpg,tertiary,designated,,2,25 mph,-1,1
portland,w98964963_n1318421597.jpg,secondary,designated,lane,,35 mph,,1
portland,w395476788_n4962768914.jpg,primary,,,4,35 mph,yes,0
portland,w134015581_n176417745.jpg,secondary,designated,lane,3,40 mph,,1
portland,w125696254_n1395450168.jpg,tertiary,designated,lane,,30 mph,,1
portland,w166276401_n1777370139.jpg,primary,,lane,,45 mph,,1
portland,w625866890_n105097564.jpg,primary,,,,,yes,0
portland,w118879380_n40591583.jpg,secondary,designated,,2,25 mph,,1
portland,w465799957_n4707328188.jpg,secondary,designated,,1,30 mph,yes,1
portland,w589306347_n40582898.jpg,tertiary,,,3,30 mph,,0
portland,w501372542_n4921981859.jpg,secondary,designated,,,35 mph,,1
portland,w436179804_n5434929071.jpg,primary,,,6,30 mph,,0
portland,w263733014_n2136855635.jpg,tertiary,designated,lane,,30 mph,,1
portland,w6466559_n3870020864.jpg,secondary,,,2,30 mph,,0
portland,w428100186_n4531083744.jpg,primary,,,5,35 mph,,0
portland,w585220726_n40499924.jpg,tertiary,,,,30 mph,,0
portland,w389271446_n4694356244.jpg,secondary,designated,lane,3,30 mph,,1
portland,w352161588_n3579291634.jpg,primary,,,7,30 mph,,0
portland,w5517174_n1970409582.jpg,tertiary,,,,30 mph,,0
portland,w531835471_n5161996792.jpg,tertiary,,,3,25 mph,no,0
portland,w418562512_n3813350351.jpg,secondary,,,4,30 mph,,0
portland,w457542646_n53162643.jpg,secondary,designated,shared_lane,4,30 mph,,1
portland,w31756357_n40519456.jpg,secondary,,,4,30 mph,,0
portland,w428032874_n4271834239.jpg,secondary,designated,lane,,30 mph,,1
portland,w17020308_n176458688.jpg,tertiary,,,,,,0
